#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],                de [deg],                dr [deg],          tau [per-unit],           dadot [deg/s],           dedot [deg/s],           drdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],        deddot [deg/s/s],        drddot [deg/s/s],  tauddot [per-unit/s/s]
 1.9986675549633576e-01, -2.1559493740566040e+00,  1.7956412603032717e+01,  2.2838441632692483e+01,  9.4937760056389394e+01,  6.0486834558080522e+00,  4.0068182738200679e+00,  1.2676854516357535e+02,  1.7265291568081897e-01, -3.0472157043914194e-01,  3.0367573381621643e+01,  2.5879447385108869e+00,  1.2369818205089198e+00,  1.5989340439706860e+01,  7.2330866635265370e+00, -1.4497019791568222e+01, -2.5949846733008264e-03,  7.9999999999999929e+01, -2.4747699361481192e+01,  3.8997115500605680e+01, -1.0839905710372208e-02,  3.5574522093560847e-11, -3.2031915436553965e+02,  6.6590295274366133e+02,  4.1569700177424951e-02
 2.0986009327115257e-01, -2.2017334355068670e+00,  1.8444962840574458e+01,  2.2831458639875660e+01,  8.8821421863265684e+01,  5.2654641827767037e+00,  4.3070058625104028e+00,  1.3310394702013934e+02,  2.0021102004319216e-01, -3.4429500045735040e-01,  3.1291746212689858e+01,  2.6151639946089706e+00,  1.3018768958364857e+00,  1.6788807461692205e+01,  6.9697799202140072e+00, -1.4074057645666024e+01, -2.7012357960473632e-03,  7.9999999999999844e+01, -2.7532411913923813e+01,  4.5101973686800029e+01, -1.0422086403239947e-02, -5.3361783140341271e-11, -2.3699465112997601e+02,  5.5588266558669989e+02,  4.2049870489978068e-02
 2.1985343104596936e-01, -2.2388147014818287e+00,  1.8850130509788585e+01,  2.2755499448014380e+01,  8.2692793192214197e+01,  4.5252121773694443e+00,  4.6011737592922763e+00,  1.3943900469010950e+02,  2.3043083134053102e-01, -3.8617027338841581e-01,  3.2154658197140726e+01,  2.6333328108211886e+00,  1.3657128732338650e+00,  1.7588274483677544e+01,  6.6828052795040751e+00, -1.3595581276842038e+01, -2.8032875327926310e-03,  7.9999999999999872e+01, -2.9549336784360253e+01,  5.0187009152156214e+01, -1.0000117583322426e-02,  3.5574522093560951e-11, -1.6665924627336190e+02,  4.6180243221323695e+02,  4.2400156002851054e-02
 2.2984676882078614e-01, -2.2675878945849490e+00,  1.9171916552123264e+01,  2.2618404000801686e+01,  7.6556781339442267e+01,  3.8287430871445980e+00,  4.8853592608644956e+00,  1.4577372564233355e+02,  2.6338409811828684e-01, -4.3025258078523620e-01,  3.2956190869303327e+01,  2.6429685208862410e+00,  1.4283782260582047e+00,  1.8387741505662888e+01,  6.3791869131981462e+00, -1.3070986176935387e+01, -2.9011049016434143e-03,  7.9999999999999872e+01, -3.0920519674274608e+01,  5.4399160703369830e+01, -9.5750704303405616e-03, -3.5574522093560951e-11, -1.0776015609483136e+02,  3.8118949823631488e+02,  4.2665947547252892e-02
 2.3984010659560293e-01, -2.2885179954125761e+00,  1.9411057078771758e+01,  2.2427630020645534e+01,  7.0417614060011033e+01,  3.1760979689467526e+00,  5.1559765279652776e+00,  1.5210811844323314e+02,  2.9913367023791249e-01, -4.7644164260782418e-01,  3.3696273934667303e+01,  2.6446069300389587e+00,  1.4897784582799261e+00,  1.9187208527648227e+01,  6.0648068849482870e+00, -1.2508322901691409e+01, -2.9946613588487381e-03,  7.9999999999999872e+01, -3.1753148919991698e+01,  5.7862729580495866e+01, -9.1476279943937741e-03,  3.5574522093560951e-11, -5.8876710281348856e+01,  3.1198608637251050e+02,  4.2879531966897685e-02
 2.4983344437041971e-01, -2.3021218906994818e+00,  1.9568943104076958e+01,  2.2190188683078514e+01,  6.4278920160367875e+01,  2.5666992789545957e+00,  5.4097915332059898e+00,  1.5844219245299954e+02,  3.3773399143197114e-01, -5.2463333117520961e-01,  3.4374878696470411e+01,  2.6387950329121073e+00,  1.5498333066952357e+00,  1.9986675549633571e+01,  5.7445470280550746e+00, -1.1914502574393831e+01, -3.0839355744161079e-03,  7.9999999999999929e+01, -3.2140848268463458e+01,  6.0683165106362004e+01, -8.7182083331794214e-03,  0.0000000000000000e+00, -1.8714852659474353e+01,  2.5247707687084838e+02,  4.3061656230798856e-02
 2.5982678214523652e-01, -2.3089521639535633e+00,  1.9647544397927707e+01,  2.1912599763347909e+01,  5.8143798508631072e+01,  1.9994862879301114e+00,  5.6438982315040880e+00,  1.6477595756792584e+02,  3.7923162894200974e-01, -5.7472107666762895e-01,  3.4992012186987999e+01,  2.6260851091927910e+00,  1.6084739074423589e+00,  2.0786142571618914e+01,  5.4224181787165051e+00, -1.1295468169385705e+01, -3.1689093601781071e-03,  7.5716666666667038e+01, -3.2164912284333028e+01,  6.2950190932396687e+01, -8.2870719024564620e-03, -8.5723777777771136e+02,  1.3898840950120235e+01,  2.0123035844620844e+02,  4.3223114771224966e-02
 2.6982011992005328e-01, -2.3095834466953420e+00,  1.9649317066606411e+01,  2.1600863440641962e+01,  5.2017635971335999e+01,  1.4730318260003157e+00,  5.8558745947700013e+00,  1.7110942400483304e+02,  4.2366581933298336e-01, -6.2659707638340478e-01,  3.5547711917436040e+01,  2.6070299807629405e+00,  1.6656400296102907e+00,  2.1500000000000000e+01,  5.1016773621456872e+00, -1.0656337532440533e+01, -3.2495665917869898e-03,  3.5716666666667024e+01, -3.1895444839895706e+01,  6.4709437255109307e+01, -7.8543924093076103e-03, -7.1480955555556302e+03,  4.0030576929934959e+01,  1.5085347227267914e+02,  4.3370474457632022e-02
 2.7981345769487009e-01, -2.3046058058680501e+00,  1.9576575523490927e+01,  2.1260323717434584e+01,  4.5990226773712614e+01,  9.8568700533009335e-01,  6.0491064603116493e+00,  1.7744260199669071e+02,  4.7106675694328842e-01, -6.8015494337669224e-01,  3.6042408570891759e+01,  2.5821653082872351e+00,  1.7212967979999290e+00,  2.1500000000000000e+01,  4.7849342711902754e+00, -1.0002141641968464e+01, -3.3258925529024430e-03,  0.0000000000000000e+00, -3.1392276517054821e+01,  6.5923441370417521e+01, -7.4202583850022314e-03,  0.0000000000000000e+00,  6.0670176747954336e+01,  9.2109218004336029e+01,  4.3514214940017885e-02
 2.8980679546968685e-01, -2.2945851105986321e+00,  1.9432356268256878e+01,  2.0895480422585290e+01,  4.0124174127440021e+01,  5.3573764081623476e-01,  6.2256257475354317e+00,  1.8377550136893740e+02,  5.2145249176212460e-01, -7.3529327127835131e-01,  3.6477515809193434e+01,  2.5519829648214860e+00,  1.7754635896341295e+00,  2.1500000000000000e+01,  4.4742501166349316e+00, -9.3387470986547072e+00, -3.3978728886224774e-03,  0.0000000000000000e+00, -3.0705979021868750e+01,  6.6581528448287656e+01, -6.9847318024156861e-03,  0.0000000000000000e+00,  7.6680828621951235e+01,  3.9595942513407856e+01,  4.3649171788302667e-02
