numberIndependentVariables,"""=""",9,,,,,,,,,,,,
velocity,elevator,aileron,rudder,p,q,r,alpha,beta,Cx,Cy,Cz,Cl,Cm,Cn
100,-20,-10,-30,-90,-30,-30,20,-2,0.06541304,-0.008394593,0.025852062,2.85E-05,0.00729297,0.001206727
100,-20,-10,-30,-90,-30,-30,20,0,0.06554547,-0.008533283,0.025655189,3.80E-05,0.007223858,0.001229283
100,-20,-10,-30,-90,-30,-30,20,2,0.065538118,-0.008758521,0.025833823,4.96E-05,0.007247269,0.001260856
100,-20,-10,-30,-90,-30,-30,20,4,0.065529287,-0.008983398,0.02601321,6.11E-05,0.00727054,0.001292377
100,-20,-10,-30,-90,-30,-30,20,6,0.065518978,-0.009207916,0.026193353,7.26E-05,0.00729367,0.001323846
100,-20,-10,-30,-90,-30,-30,20,8,0.065507191,-0.009432075,0.026374255,8.41E-05,0.007316662,0.001355265
100,-20,-10,-30,-90,-30,0,-20,-8,0.062537391,-0.009594779,0.02352667,3.72E-05,0.006436841,0.001452357
100,-20,-10,-30,-90,-30,0,-20,-6,0.062684117,-0.009742275,0.023297873,4.72E-05,0.006357553,0.001476821
100,-20,-10,-30,-90,-30,0,-20,-4,0.062830118,-0.009889787,0.023070181,5.72E-05,0.006278237,0.001501289
100,-20,-10,-30,-90,-30,0,-20,-2,0.062975391,-0.010037315,0.02284359,6.72E-05,0.006198895,0.001525761
100,-20,-10,-30,-90,-30,0,-20,0,0.063119937,-0.01018486,0.022618096,7.71E-05,0.006119525,0.001550238
100,-20,-10,-30,-90,-30,0,-20,2,0.063109226,-0.010435188,0.022830862,8.92E-05,0.00615522,0.001585978
100,-20,-10,-30,-90,-30,0,-20,4,0.063097624,-0.010685203,0.023044638,0.000101307,0.006190866,0.001621675
100,-20,-10,-30,-90,-30,0,-20,6,0.063085132,-0.010934905,0.023259426,0.000113394,0.006226465,0.001657329
100,-20,-10,-30,-90,-30,0,-20,8,0.063071749,-0.011184295,0.023475232,0.000125481,0.006262017,0.001692939
100,-20,-10,-30,-90,-30,0,-15,-8,0.06255499,-0.009287342,0.023346869,3.07E-05,0.006372104,0.001396736
100,-20,-10,-30,-90,-30,0,-15,-6,0.062701706,-0.009434853,0.023117937,4.07E-05,0.006292766,0.001421202
100,-20,-10,-30,-90,-30,0,-15,-4,0.062847696,-0.009582381,0.02289011,5.07E-05,0.006213401,0.001445671
